energy_keV,weight
1.5,0.00015141682889898333
2.5,0.00012978585334198572
3.5,0.00038935756002595715
4.5,0.00043261951113995244
5.5,0.0005840363400389357
6.5,0.0011248107289638762
7.5,0.0014925373134328358
8.5,0.0027471338957386978
9.5,0.003893575600259572
10.5,0.0017521090201168073
11.5,0.0014060134112048454
12.5,0.0009517629245078954
13.5,0.001708847069002812
14.5,0.002011680726800779
15.5,0.0037854207224745835
16.5,0.0054942677914773955
17.5,0.006770495349340255
18.5,0.008198139736102098
19.5,0.009495998269521955
20.5,0.012524334847501623
21.5,0.014103396063162448
22.5,0.01490374215877136
23.5,0.015509409474367294
24.5,0.01747782825005408
25.5,0.018213281418991995
26.5,0.017953709712308027
27.5,0.017780661907852043
28.5,0.02007354531689379
29.5,0.020419640925805754
30.5,0.01961929483019684
31.5,0.01992212848799481
32.5,0.020722474583603722
33.5,0.019792342634652824
34.5,0.01981397361020982
35.5,0.01899199653904391
36.5,0.019597663854639843
37.5,0.01871079385680294
38.5,0.018624269954574953
39.5,0.018018602638979017
40.5,0.01700194678780013
41.5,0.01793207873675103
42.5,0.016850529958901145
43.5,0.01643954142331819
44.5,0.015422885572139304
45.5,0.016331386545533205
46.5,0.015963659961064244
47.5,0.015293099718797318
48.5,0.015314730694354316
49.5,0.01436296776984642
50.5,0.014600908500973394
51.5,0.012675751676400606
52.5,0.014838849232100368
53.5,0.013432835820895522
54.5,0.012675751676400606
55.5,0.012502703871944625
56.5,0.012524334847501623
57.5,0.011594202898550725
58.5,0.015574302401038288
59.5,0.01855937702790396
60.5,0.009950248756218905
61.5,0.009950248756218905
62.5,0.011031797534068787
63.5,0.010815487778498811
64.5,0.009560891196192947
65.5,0.008674021198356046
66.5,0.009798831927319921
67.5,0.011745619727449709
68.5,0.00882543802725503
69.5,0.008263032662773092
70.5,0.00718148388492321
71.5,0.007527579493835172
72.5,0.007051698031581224
73.5,0.006662340471555267
74.5,0.006965174129353234
75.5,0.006705602422669262
76.5,0.006402768764871295
77.5,0.006965174129353234
78.5,0.0055375297425913905
79.5,0.006143197058187324
80.5,0.005688946571490374
81.5,0.005840363400389357
82.5,0.0054510058403634005
83.5,0.005948518278174345
84.5,0.0050616482803374436
85.5,0.004780445598096474
86.5,0.004239671209171534
87.5,0.005191434133679429
88.5,0.004975124378109453
89.5,0.004282933160285529
90.5,0.00400173047804456
91.5,0.003936837551373567
92.5,0.003893575600259572
93.5,0.0034393251135626216
94.5,0.0030283365779796667
95.5,0.0034393251135626216
96.5,0.0035042180402336145
97.5,0.0027687648712956953
98.5,0.0032662773091066406
99.5,0.003006705602422669
100.5,0.0029201817001946787
101.5,0.0026606099935107073
102.5,0.0026606099935107073
103.5,0.002682240969067705
104.5,0.0027471338957386978
105.5,0.0026606099935107073
106.5,0.002357776335712741
107.5,0.0020765736534717714
108.5,0.0016655851178888168
109.5,0.0018170019467878002
110.5,0.0015141682889898333
111.5,0.0012762275578628596
112.5,0.0013194895089768549
113.5,0.0011897036556348692
114.5,0.0013411204845338524
115.5,0.0009085009733939001
116.5,0.0005840363400389357
117.5,0.0004975124378109452
118.5,0.00030283365779796667
119.5,0.00012978585334198572
