photons_per_sample,true_material,predicted_material,count,mean_score_margin,dev_centroid_distance,top3_contains_true_rate
100,Dolomite,Calcite,276,0.7246866687720315,2.0433686381488645,0.9963768115942029
100,Magnetite,Chalcopyrite,251,0.37347053600466973,0.9309900051400422,0.12749003984063745
100,Hematite,Chalcopyrite,249,0.37584673761983983,0.9124504008271929,1.0
100,Orthoclase,Calcite,216,0.5905323203181689,3.0018808855205976,0.8194444444444444
100,Pyrite,Chalcopyrite,194,0.3631970019804873,1.149353893582903,0.9948453608247423
100,Albite,Quartz,146,0.18351609113094655,0.6270076329503994,0.821917808219178
100,Quartz,Orthoclase,81,0.15195871739501138,1.7629983051522513,0.7777777777777778
100,Quartz,Calcite,71,0.3618922188307123,4.615451160192931,0.08450704225352113
100,Albite,Orthoclase,67,0.1470000128897589,2.2903270876919697,0.1791044776119403
100,Quartz,Dolomite,45,0.18352880286964648,2.683692862861937,0.4888888888888889
100,Albite,Dolomite,37,0.17990480820934748,3.2069528528652667,0.08108108108108109
100,Chalcopyrite,Pyrite,34,0.1568088000758672,1.149353893582903,1.0
100,Orthoclase,Dolomite,34,0.1619343140175742,1.2701620403060185,0.7647058823529411
100,Albite,Calcite,33,0.31577327286069384,5.1452266886535,0.0
100,Magnetite,Hematite,32,0.26935253725122865,0.1250075032716986,0.375
100,Hematite,Pyrite,19,0.2296086803905936,1.5188659756698932,0.9473684210526315
100,Magnetite,Pyrite,16,0.17443772710937117,1.5572692021359391,0.0
100,Calcite,Pyrite,11,0.36371400740937143,10.540574532495143,1.0
100,Quartz,Albite,11,0.14587806027266045,0.6270076329503994,1.0
100,Chalcopyrite,Hematite,7,0.14571601446055474,0.9124504008271929,1.0
100,Orthoclase,Quartz,7,0.16335912984089368,1.7629983051522513,1.0
100,Dolomite,Orthoclase,6,0.07083112572192014,1.2701620403060185,1.0
100,Pyrite,Hematite,4,0.19593673994922509,1.5188659756698932,0.5
100,Dolomite,Pyrite,3,0.2449407149114912,12.050626360824918,0.6666666666666666
100,Orthoclase,Pyrite,2,0.47569027692294846,13.076665567002278,0.0
100,Calcite,Dolomite,1,0.9985216313820976,2.0433686381488645,0.0
100,Dolomite,Quartz,1,0.461890230874439,2.683692862861937,1.0
100,Hematite,Galena,1,0.9891154692067684,12.212712160688138,1.0
100,Magnetite,Galena,1,0.9891174089353971,12.199670717451369,1.0
200,Quartz,Albite,73,0.16366438356164384,0.7229126388750853,1.0
200,Magnetite,Chalcopyrite,49,0.142093537414966,1.0574415945756341,0.9387755102040817
200,Hematite,Magnetite,48,0.06416753472222221,0.17202175528903382,0.9583333333333334
200,Magnetite,Hematite,48,0.04575520833333333,0.17202175528903382,1.0
