photons_per_sample,selected_method,table_mode,train_rows,validation_rows,test_rows,validation_top1_accuracy,validation_top3_accuracy,validation_macro_f1,validation_min_class_recall,final_top1_accuracy,final_top3_accuracy,final_macro_f1,final_min_class_recall,passes_all_acceptance_targets
100,LogisticRegression,multi_source_fused,3000,3000,3000,0.5186666666666667,0.9233333333333333,0.511054635335044,0.23,0.38133333333333336,0.8116666666666666,0.31525152565340997,0.0,False
200,RandomForest,multi_source_fused,1500,1500,1500,0.6046666666666667,0.9533333333333334,0.6025929064272606,0.36666666666666664,0.598,0.9653333333333334,0.5917898437891287,0.31333333333333335,False
500,RandomForest,multi_source_fused,600,600,600,0.71,0.9866666666666667,0.7094076315969571,0.4,0.7266666666666667,0.9933333333333333,0.7219867663163833,0.4,False
1000,ExtraTrees,multi_source_fused,300,300,300,0.77,0.9966666666666667,0.7681929171139295,0.3333333333333333,0.8033333333333333,1.0,0.7962398424675698,0.3,False
