,Quartz,Calcite,Orthoclase,Albite,Dolomite,Pyrite,Hematite,Magnetite,Chalcopyrite,Galena
Quartz,10,1,6,8,0,0,0,0,0,0
Calcite,0,20,3,0,2,0,0,0,0,0
Orthoclase,5,1,8,1,10,0,0,0,0,0
Albite,13,1,5,6,0,0,0,0,0,0
Dolomite,1,9,4,0,11,0,0,0,0,0
Pyrite,0,0,0,0,0,10,1,6,7,1
Hematite,0,0,0,0,0,11,3,6,4,1
Magnetite,0,0,0,0,0,10,3,6,5,1
Chalcopyrite,0,0,0,0,0,7,5,7,6,0
Galena,0,0,0,0,0,0,0,0,0,25
