row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
31,es2,material,Quartz,mono_60kev,10.0,202,0,8.358,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_60kev_10mm_seed202.txt,ms_es2_quartz_mono_60kev_10mm_seed202
32,es2,material,Quartz,mono_70kev,10.0,101,0,10.086,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_70kev_10mm_seed101.txt,ms_es2_quartz_mono_70kev_10mm_seed101
33,es2,material,Quartz,mono_70kev,10.0,202,0,5.696,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_70kev_10mm_seed202.txt,ms_es2_quartz_mono_70kev_10mm_seed202
34,es2,material,Quartz,mono_80kev,10.0,101,0,6.387,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_80kev_10mm_seed101.txt,ms_es2_quartz_mono_80kev_10mm_seed101
35,es2,material,Quartz,mono_80kev,10.0,202,0,6.166,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_80kev_10mm_seed202.txt,ms_es2_quartz_mono_80kev_10mm_seed202
36,es2,material,Quartz,mono_90kev,10.0,101,0,5.974,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_90kev_10mm_seed101.txt,ms_es2_quartz_mono_90kev_10mm_seed101
37,es2,material,Quartz,mono_90kev,10.0,202,0,8.196,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_90kev_10mm_seed202.txt,ms_es2_quartz_mono_90kev_10mm_seed202
38,es2,material,Quartz,mono_100kev,10.0,101,0,15.413,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_100kev_10mm_seed101.txt,ms_es2_quartz_mono_100kev_10mm_seed101
39,es2,material,Quartz,mono_100kev,10.0,202,0,6.117,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_100kev_10mm_seed202.txt,ms_es2_quartz_mono_100kev_10mm_seed202
40,es2,material,Quartz,mono_110kev,10.0,101,0,15.990,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_110kev_10mm_seed101.txt,ms_es2_quartz_mono_110kev_10mm_seed101
41,es2,material,Quartz,mono_110kev,10.0,202,0,8.197,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_110kev_10mm_seed202.txt,ms_es2_quartz_mono_110kev_10mm_seed202
42,es2,material,Quartz,mono_120kev,10.0,101,0,6.093,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_120kev_10mm_seed101.txt,ms_es2_quartz_mono_120kev_10mm_seed101
43,es2,material,Quartz,mono_120kev,10.0,202,0,7.688,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_120kev_10mm_seed202.txt,ms_es2_quartz_mono_120kev_10mm_seed202
44,es2,material,Quartz,mono_150kev,10.0,101,0,6.098,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_150kev_10mm_seed101.txt,ms_es2_quartz_mono_150kev_10mm_seed101
45,es2,material,Quartz,mono_150kev,10.0,202,0,6.717,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_150kev_10mm_seed202.txt,ms_es2_quartz_mono_150kev_10mm_seed202
46,es2,material,Quartz,mono_200kev,10.0,101,0,6.599,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_200kev_10mm_seed101.txt,ms_es2_quartz_mono_200kev_10mm_seed101
47,es2,material,Quartz,mono_200kev,10.0,202,0,6.040,source_models/config/material_sorting_matrix/es2/ms_es2_quartz_mono_200kev_10mm_seed202.txt,ms_es2_quartz_mono_200kev_10mm_seed202
48,es2,material,Calcite,mono_30kev,10.0,101,0,6.062,source_models/config/material_sorting_matrix/es2/ms_es2_calcite_mono_30kev_10mm_seed101.txt,ms_es2_calcite_mono_30kev_10mm_seed101
