row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
29,sr2,material,Quartz,mono_50kev,5.0,1102,0,2.999,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_5mm_seed1102.txt,ms_sr2_quartz_mono_50kev_5mm_seed1102
30,sr2,material,Quartz,mono_120kev,5.0,606,0,2.948,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_5mm_seed606.txt,ms_sr2_quartz_mono_120kev_5mm_seed606
31,sr2,material,Quartz,mono_120kev,5.0,707,0,2.985,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_5mm_seed707.txt,ms_sr2_quartz_mono_120kev_5mm_seed707
32,sr2,material,Quartz,mono_120kev,5.0,808,0,2.992,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_5mm_seed808.txt,ms_sr2_quartz_mono_120kev_5mm_seed808
33,sr2,material,Quartz,mono_120kev,5.0,909,0,2.949,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_5mm_seed909.txt,ms_sr2_quartz_mono_120kev_5mm_seed909
34,sr2,material,Quartz,mono_120kev,5.0,1001,0,3.009,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_5mm_seed1001.txt,ms_sr2_quartz_mono_120kev_5mm_seed1001
35,sr2,material,Quartz,mono_120kev,5.0,1102,0,3.010,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_5mm_seed1102.txt,ms_sr2_quartz_mono_120kev_5mm_seed1102
36,sr2,material,Quartz,mono_40kev,10.0,606,0,2.805,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_10mm_seed606.txt,ms_sr2_quartz_mono_40kev_10mm_seed606
37,sr2,material,Quartz,mono_40kev,10.0,707,0,2.773,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_10mm_seed707.txt,ms_sr2_quartz_mono_40kev_10mm_seed707
38,sr2,material,Quartz,mono_40kev,10.0,808,0,2.860,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_10mm_seed808.txt,ms_sr2_quartz_mono_40kev_10mm_seed808
39,sr2,material,Quartz,mono_40kev,10.0,909,0,2.896,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_10mm_seed909.txt,ms_sr2_quartz_mono_40kev_10mm_seed909
40,sr2,material,Quartz,mono_40kev,10.0,1001,0,2.893,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_10mm_seed1001.txt,ms_sr2_quartz_mono_40kev_10mm_seed1001
41,sr2,material,Quartz,mono_40kev,10.0,1102,0,2.785,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_40kev_10mm_seed1102.txt,ms_sr2_quartz_mono_40kev_10mm_seed1102
42,sr2,material,Quartz,mono_50kev,10.0,606,0,2.833,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_10mm_seed606.txt,ms_sr2_quartz_mono_50kev_10mm_seed606
43,sr2,material,Quartz,mono_50kev,10.0,707,0,2.847,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_10mm_seed707.txt,ms_sr2_quartz_mono_50kev_10mm_seed707
44,sr2,material,Quartz,mono_50kev,10.0,808,0,2.970,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_10mm_seed808.txt,ms_sr2_quartz_mono_50kev_10mm_seed808
45,sr2,material,Quartz,mono_50kev,10.0,909,0,2.928,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_10mm_seed909.txt,ms_sr2_quartz_mono_50kev_10mm_seed909
46,sr2,material,Quartz,mono_50kev,10.0,1001,0,2.863,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_10mm_seed1001.txt,ms_sr2_quartz_mono_50kev_10mm_seed1001
47,sr2,material,Quartz,mono_50kev,10.0,1102,0,2.886,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_50kev_10mm_seed1102.txt,ms_sr2_quartz_mono_50kev_10mm_seed1102
48,sr2,material,Quartz,mono_120kev,10.0,606,0,2.906,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_10mm_seed606.txt,ms_sr2_quartz_mono_120kev_10mm_seed606
49,sr2,material,Quartz,mono_120kev,10.0,707,0,2.908,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_10mm_seed707.txt,ms_sr2_quartz_mono_120kev_10mm_seed707
50,sr2,material,Quartz,mono_120kev,10.0,808,0,3.023,source_models/config/material_sorting_matrix/sr2/ms_sr2_quartz_mono_120kev_10mm_seed808.txt,ms_sr2_quartz_mono_120kev_10mm_seed808
