material,predicted_material,top1_probability,top2_probability,margin,centroid_distance,decision,review_reason,top3_candidates,is_correct
Calcite,Dolomite,0.4275657900355712,0.20926242191792177,0.21830336811764944,2.592568839841236,review_unknown_or_ambiguous,low_probability,Dolomite;Orthoclase;Quartz,False
Calcite,Calcite,0.6054438417772489,0.06734091886472313,0.5381029229125257,4.694935258385189,review_unknown_or_ambiguous,low_probability,Calcite;Pyrite;Magnetite,True
Calcite,Dolomite,0.4776571247605037,0.1290408397049577,0.348616285055546,4.253019236764301,review_unknown_or_ambiguous,low_probability,Dolomite;Orthoclase;Quartz,False
Calcite,Calcite,0.5505585738642532,0.15116239789630131,0.3993961759679519,5.934913414322844,review_unknown_or_ambiguous,low_probability,Calcite;Dolomite;Magnetite,True
Calcite,Calcite,0.47117787067979694,0.26430592614146425,0.20687194453833269,2.5075523386677228,review_unknown_or_ambiguous,low_probability,Calcite;Dolomite;Magnetite,True
Calcite,Orthoclase,0.372278961804314,0.16363945672173688,0.20863950508257714,1.8529111170500498,review_unknown_or_ambiguous,low_probability,Orthoclase;Quartz;Albite,False
Calcite,Calcite,0.5576115164185481,0.1475090829550988,0.4101024334634493,1.7590029319630687,review_unknown_or_ambiguous,low_probability,Calcite;Dolomite;Magnetite,True
Calcite,Calcite,0.7015430993842466,0.05395568266726741,0.6475874167169793,2.2511470486438387,auto_sort,,Calcite;Magnetite;Hematite,True
Calcite,Calcite,0.6533565706653155,0.09134419763040008,0.5620123730349154,2.07791840486136,auto_sort,,Calcite;Dolomite;Magnetite,True
Calcite,Orthoclase,0.4367036982340102,0.17867732601301303,0.2580263722209971,2.7070367127633657,review_unknown_or_ambiguous,low_probability,Orthoclase;Dolomite;Quartz,False
Calcite,Calcite,0.699313119993017,0.052710727123911914,0.6466023928691051,2.12897697845496,auto_sort,,Calcite;Magnetite;Dolomite,True
Calcite,Calcite,0.6624898935134199,0.05685391870191938,0.6056359748115006,2.9563598934046587,auto_sort,,Calcite;Magnetite;Dolomite,True
Calcite,Calcite,0.39246452474333915,0.2764041547004891,0.11606037004285003,2.5873172433848097,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Calcite;Dolomite;Orthoclase,True
Chalcopyrite,Magnetite,0.22206072924348785,0.20378348015537814,0.01827724908810971,2.6250656618961714,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Magnetite;Chalcopyrite;Pyrite,False
Chalcopyrite,Hematite,0.3041602657169009,0.2547721725904902,0.04938809312641074,2.4222483791978253,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Hematite;Magnetite;Chalcopyrite,False
Chalcopyrite,Pyrite,0.5588571700568455,0.12003830038828012,0.4388188696685654,1.9088265814364072,review_unknown_or_ambiguous,low_probability,Pyrite;Chalcopyrite;Magnetite,False
Chalcopyrite,Hematite,0.4561063425236466,0.17571784216043596,0.28038850036321067,3.438132799803335,review_unknown_or_ambiguous,low_probability,Hematite;Magnetite;Chalcopyrite,False
Chalcopyrite,Chalcopyrite,0.5267922759386362,0.17097965458333617,0.3558126213553,5.585840484179167,review_unknown_or_ambiguous,low_probability,Chalcopyrite;Pyrite;Magnetite,True
Chalcopyrite,Pyrite,0.2314307248530688,0.22746077352032398,0.003969951332744803,2.311860300837886,review_unknown_or_ambiguous,low_probability;small_top1_top2_margin,Pyrite;Magnetite;Hematite,False
