,Quartz,Calcite,Orthoclase,Albite,Dolomite,Pyrite,Hematite,Magnetite,Chalcopyrite,Galena
Quartz,8,1,7,8,1,0,0,0,0,0
Calcite,0,20,3,0,2,0,0,0,0,0
Orthoclase,2,2,11,2,8,0,0,0,0,0
Albite,7,1,6,11,0,0,0,0,0,0
Dolomite,0,7,5,1,12,0,0,0,0,0
Pyrite,0,0,0,0,0,15,4,2,3,1
Hematite,0,0,0,0,0,7,2,7,8,1
Magnetite,0,0,0,0,0,6,4,7,7,1
Chalcopyrite,0,0,0,0,0,11,6,3,5,0
Galena,0,0,0,0,0,0,0,0,0,25
