method,samples,top1_accuracy,top3_accuracy,macro_f1,min_class_recall,feature_family,feature_count
ExtraTrees,3000,0.4876666666666667,0.894,0.4790249465509577,0.21333333333333335,raw_counts,33
ExtraTrees,3000,0.49733333333333335,0.9043333333333333,0.48995588333151546,0.24666666666666667,calibrated_transmission,32
ExtraTrees,3000,0.484,0.892,0.4736421120135,0.22333333333333333,attenuation,29
ExtraTrees,3000,0.49966666666666665,0.9056666666666666,0.487627342905383,0.20333333333333334,thickness_normalized_attenuation,21
ExtraTrees,3000,0.35533333333333333,0.7603333333333333,0.34606450579340325,0.13,spectral_shape,24
ExtraTrees,3000,0.437,0.824,0.4299175653361636,0.17333333333333334,scatter_direct,15
ExtraTrees,3000,0.36966666666666664,0.6676666666666666,0.3661392377453597,0.20666666666666667,source_fusion,1
ExtraTrees,3000,0.381,0.8086666666666666,0.37737919653292434,0.22666666666666666,dictionary_distance,13
ExtraTrees,3000,0.3566666666666667,0.795,0.341559976399427,0.18,other_numeric,10
