method,samples,top1_accuracy,top3_accuracy,macro_f1,min_class_recall,holdout_thickness_mm
LogisticRegression,3000,0.3913333333333333,0.8263333333333334,0.3432924546071015,0.0033333333333333335,5.0
LogisticRegression,3000,0.4543333333333333,0.892,0.42573697599109667,0.06333333333333334,10.0
LogisticRegression,3000,0.225,0.572,0.10504077261627698,0.0,20.0
