split,method,feature_mode,samples,hm_min_recall,hematite_recall,magnetite_recall,macro_f1,top1_accuracy
validation,ExtraTrees,thickness_aware,120,0.6333333333333333,0.6833333333333333,0.6333333333333333,0.6581196581196581,0.6583333333333333
validation,ExtraTrees,thickness_blind,120,0.65,0.7166666666666667,0.65,0.6829810901001112,0.6833333333333333
